query_id,corpus_id
q1a73c1d4,d1b3be84e
q1a73c1d4,d1b3576b2
q1a73c1d4,d1b3345c2
q1a73c1d4,d1b3c5fe0
q1a73c1d4,d1b3af812
q1a73c1d4,d1b2ee16c
q1a73c1d4,d1b3a6fa0
q1a73c1d4,d1b3bf28a
q1a73c1d4,d1a72d184
q1a73c1d4,d1b39417a
q1a72ef98,d1b369c7c
q1a72ef98,d1b376116
q1a72ef98,d1b35c7a2
q1a72ef98,d1b2eca42
q1a72ef98,d1b3b9a42
q1a72ef98,d1b3af286
q1a72ef98,d1a715322
q1a72ef98,d1b3202c0
q1a72ef98,d1b2f54f8
q1a72ef98,d1b38af94
q1a716380,d1b375a7c
q1a716380,d1b341b5a
q1a716380,d1b3c278c
q1a716380,d1a716452
q1a716380,d1b3a0ace
q1a716380,d1b37a7a2
q1a716380,d1b3bddc2
q1a716380,d1b2fc294
q1a716380,d1b3a6672
q1a716380,d1b304548
q1a73f97e,d1a73fa6e
q1a73f97e,d1b30edb8
q1a73f97e,d1b3a7ef0
q1a73f97e,d1b31bcc0
q1a73f97e,d1b313dcc
q1a73f97e,d1b3270fc
q1a73f97e,d1b3b3336
q1a73f97e,d1b350100
q1a73f97e,d1b35a6c8
q1a73f97e,d1b34f3a4
q1a731ee6,d1a731ff4
q1a731ee6,d1b37f428
q1a731ee6,d1b3afdf8
q1a731ee6,d1b3a02e0
q1a731ee6,d1b354372
q1a731ee6,d1b39346e
q1a731ee6,d1b3b82e6
q1a731ee6,d1b31ae60
q1a731ee6,d1b32ddbc
q1a731ee6,d1b37bc24
q1a729624,d1a7296ba
q1a729624,d1b310168
q1a729624,d1b3c0586
q1a729624,d1b300d1c
q1a729624,d1b32fd60
q1a729624,d1b3a41c4
q1a729624,d1b3b62fc
q1a729624,d1b3a734c
q1a729624,d1b391948
q1a729624,d1a72ba82
q1a732468,d1a7324d6
q1a732468,d1b3bab22
q1a732468,d1b37c8ea
q1a732468,d1b3177b0
q1a732468,d1b2e5468
q1a732468,d1b3164f0
q1a732468,d1a72ed36
q1a732468,d1b33cd08
q1a732468,d1b352f68
q1a732468,d1b30df3a
q1a73f24e,d1b33a846
q1a73f24e,d1b324ffa
q1a73f24e,d1b399e36
q1a73f24e,d1b38b426
q1a73f24e,d1b35b096
q1a73f24e,d1b38f58a
q1a73f24e,d1b38ffda
q1a73f24e,d1b3c41c2
q1a73f24e,d1b36b914
q1a73f24e,d1b391a42
q1a714760,d1a7310a4
q1a714760,d1b3aea0c
q1a714760,d1b369c7c
q1a714760,d1b2f6fd8
q1a714760,d1b36ef9c
q1a714760,d1b30812a
q1a714760,d1b32a6d0
q1a714760,d1b33d726
q1a714760,d1b3babf4
q1a714760,d1b3003a8
q1a72d620,d1b38a4a4
q1a72d620,d1b363a48
q1a72d620,d1b35a6c8
q1a72d620,d1b37f428
q1a72d620,d1b33ca56
q1a72d620,d1a71fc46
q1a72d620,d1b3287ae
q1a72d620,d1b3862b4
q1a72d620,d1b3c5d24
q1a72d620,d1b3c8b00
q1a716fa6,d1b306aa0
q1a716fa6,d1b36cf58
q1a716fa6,d1b39af66
q1a716fa6,d1b39690c
q1a716fa6,d1b3a009c
q1a716fa6,d1b3bf118
q1a716fa6,d1b33931a
q1a716fa6,d1b39adae
q1a716fa6,d1b3921e0
q1a716fa6,d1b32c4da
q1a729854,d1a72991c
q1a729854,d1b336d72
q1a729854,d1a7253e4
q1a729854,d1b3a4ea8
q1a729854,d1b3711d4
q1a729854,d1b3b553c
q1a729854,d1b342488
q1a729854,d1b349198
q1a729854,d1b31094c
q1a729854,d1b32f14e
q1a738476,d1b3acbbc
q1a738476,d1b35313e
q1a738476,d1b379078
q1a738476,d1a7324d6
q1a738476,d1b325662
q1a738476,d1b3bab22
q1a738476,d1b3164f0
q1a738476,d1b30df3a
q1a738476,d1b3090a2
q1a738476,d1b2e5468
q1a7212bc,d1b3a4ea8
q1a7212bc,d1a7253e4
q1a7212bc,d1b34c80c
q1a7212bc,d1b336d72
q1a7212bc,d1b3b553c
q1a7212bc,d1a7227c0
q1a7212bc,d1b39b4fc
q1a7212bc,d1b3711d4
q1a7212bc,d1b349198
q1a7212bc,d1a72135c
q1a73ceea,d1b33709c
q1a73ceea,d1b39fc28
q1a73ceea,d1b34622c
q1a73ceea,d1b2eca42
q1a73ceea,d1b3bf8a2
q1a73ceea,d1a715322
q1a73ceea,d1b314a74
q1a73ceea,d1a72f100
q1a73ceea,d1b328bdc
q1a73ceea,d1b354c00
q1a736734,d1b3254a0
q1a736734,d1a7367c0
q1a736734,d1b331b10
q1a736734,d1b33cd08
q1a736734,d1b2f6ad8
q1a736734,d1b3386b8
q1a736734,d1b38049a
q1a736734,d1b35752c
q1a736734,d1b2e63f4
q1a736734,d1a71b272
q1a71a980,d1b33a3fa
q1a71a980,d1b3c24f8
q1a71a980,d1b2e225e
q1a71a980,d1b321f3a
q1a71a980,d1b3b96f0
q1a71a980,d1b32e01e
q1a71a980,d1a731540
q1a71a980,d1b2ff39a
q1a71a980,d1b35c4dc
q1a71a980,d1b3bae6a
q1a719cba,d1b37c246
q1a719cba,d1a725f60
q1a719cba,d1b345656
q1a719cba,d1b3afc7c
q1a719cba,d1b3b7382
q1a719cba,d1b363336
q1a719cba,d1b39f390
